"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.207650000E-2,1.515443346E-1,1.463900140E-1,-3.666233450E-1,4.228574212E-1
3.211650001E-2,2.312164485E-2,3.318408903E-1,-3.273663086E-1,4.667137098E-1
4.215749999E-2,-2.789235887E-1,2.796509823E-1,-1.519106627E-1,4.231783190E-1
5.219849999E-2,-6.001105598E-1,1.359340230E-1,9.010559320E-2,6.218760009E-1
6.223850000E-2,-7.284312156E-1,-7.729142010E-2,4.427219331E-2,7.338569524E-1
7.227950000E-2,-7.820905289E-1,-4.665452439E-1,-2.308895892E-1,9.394892561E-1
8.232050001E-2,-6.655306703E-1,-7.988436788E-1,-1.574532384E-1,1.051605353E0
9.236050000E-2,-5.789246356E-1,-6.167531973E-1,-5.052871406E-2,8.474027325E-1
1.024015000E-1,-5.202080655E-1,-2.170100534E-1,1.204760313E-2,5.637862533E-1
1.124425000E-1,-2.214565685E-1,-1.938837308E-1,3.093761802E-2,2.959578501E-1
1.224835000E-1,1.114888608E-2,-5.682844573E-1,7.057004571E-2,5.727579362E-1
1.325235000E-1,1.739254296E-3,-9.896003187E-1,2.492609560E-2,9.899157166E-1
1.425645000E-1,-9.579815000E-2,-1.243447246E0,-2.892173195E-1,1.280228494E0
1.526055000E-1,-3.534638938E-1,-1.151066501E0,-5.397997463E-1,1.319573636E0
1.626455000E-1,-7.961153680E-1,-8.033051044E-1,-6.250264227E-1,1.292190698E0
1.726865000E-1,-8.127702847E-1,-2.473284513E-1,-7.069570237E-1,1.105239853E0
1.827275000E-1,-6.779139036E-1,-4.503092802E-1,-5.556679201E-1,9.854504279E-1
1.927675000E-1,-7.046754402E-1,-6.749382555E-1,-5.415270138E-1,1.115957271E0
2.028085000E-1,-6.348453596E-1,-7.076621979E-1,-6.163298589E-1,1.132994665E0
2.128495000E-1,-7.416339362E-1,-3.624396622E-1,-4.009780759E-1,9.176964756E-1
2.228895000E-1,-7.368517908E-1,-4.035280466E-2,-1.452962923E-1,7.521236089E-1
2.329305000E-1,-7.707986784E-1,-4.010377175E-1,-5.359996408E-1,1.020910118E0
2.429715000E-1,-8.876102597E-1,-9.890764081E-1,-7.501965988E-1,1.526079635E0
2.530125000E-1,-8.742672059E-1,-9.117627686E-1,-7.385354966E-1,1.463246108E0
2.630525000E-1,-7.252246025E-1,-6.132811207E-1,-2.312895387E-1,9.775271392E-1
2.730935000E-1,-7.469244969E-1,-4.393147606E-1,6.459033215E-1,1.080779702E0
2.831345000E-1,-5.777663022E-1,9.108617127E-2,1.671354089E0,1.770744217E0
2.931745000E-1,2.383243239E-1,7.992407048E-1,2.014735336E0,2.180537242E0
3.032155000E-1,1.165488659E0,1.208005518E0,2.059499865E0,2.656911899E0
3.132565000E-1,1.736498503E0,1.196279511E0,1.981526660E0,2.893606681E0
3.232965000E-1,1.884638881E0,9.494515818E-1,1.322413309E0,2.490401369E0
3.333375000E-1,1.336647478E0,5.001848602E-1,-7.948003292E-2,1.429380443E0
3.433785000E-1,5.653953481E-1,-4.633807307E-1,-2.067139252E0,2.192591683E0
3.534185000E-1,-3.914944768E-2,-1.240587958E0,-3.688784992E0,3.892007949E0
3.634595000E-1,-4.746585479E-1,-1.125235257E0,-4.465519763E0,4.629505576E0
3.735005000E-1,-6.204325578E-1,-1.674414521E0,-4.671211361E0,5.000881535E0
3.835405000E-1,-4.590609540E-1,-2.559592339E0,-5.644791479E0,6.214975522E0
3.935815000E-1,2.729351628E-1,-3.295704165E0,-7.465615602E0,8.165266430E0
4.036225000E-1,1.506901441E0,-2.338928361E0,-4.071443741E0,4.931327607E0
4.136635000E-1,3.345342348E0,-1.586216875E0,4.072251826E0,5.503692791E0
4.237035000E-1,4.087975574E0,-2.350062629E0,6.135045428E0,7.737772357E0
4.337445000E-1,2.105369810E0,-4.191363702E0,2.034322339E0,5.112590253E0
4.437855000E-1,3.410669196E-1,-5.406196429E0,1.006190624E0,5.509601259E0
4.538255000E-1,-4.923142156E-1,-6.045716345E0,6.520925993E-1,6.100678992E0
4.638665000E-1,-7.515706944E-1,-6.515870490E0,3.249163252E-1,6.567114844E0
4.739075000E-1,-7.605982107E-1,-7.026355805E0,-3.935667300E-1,7.078352938E0
4.839475000E-1,-6.148722211E-1,-7.190764892E0,-1.125025634E0,7.304166636E0
4.939885000E-1,-5.641148078E-1,-7.014544430E0,-1.363610451E0,7.168088486E0
5.040295000E-1,-9.419119627E-1,-6.818598386E0,-1.000828288E0,6.955727091E0
5.140705000E-1,-8.662475304E-1,-6.369841542E0,-1.472084780E-1,6.430158348E0
5.241105000E-1,-7.605029742E-1,-6.800155683E0,3.398201470E-1,6.850982398E0
5.341515000E-1,-1.168800668E-1,-2.491178747E0,8.074798702E-1,2.621384413E0
5.441925000E-1,-3.287471651E-1,4.622393543E0,3.496785526E-1,4.647243468E0
5.542325000E-1,-1.251573706E0,1.058192251E1,4.913122952E-1,1.066700092E1
5.642735000E-1,-9.397636226E-1,1.781732096E1,2.016857876E0,1.795571768E1
5.743145000E-1,-1.860574080E0,2.430614106E1,3.291292441E0,2.459843155E1
5.843545000E-1,-2.103492854E0,2.417379752E1,3.149769942E0,2.446871920E1
5.943955000E-1,-1.556446069E0,1.781107145E1,1.894348183E0,1.797902516E1
6.044365000E-1,-8.692102414E-1,1.000648983E1,1.108787624E0,1.010518556E1
6.144765000E-1,-3.636804414E-1,4.690226507E0,6.321383911E-1,4.746586889E0
6.245175000E-1,-4.514635205E-2,1.176835181E0,2.913082838E-1,1.213194029E0
6.345585000E-1,8.275740643E-2,-1.392775193E0,-6.529815953E-2,1.396758883E0
6.445985000E-1,6.805488417E-2,-3.311935451E0,-4.260292288E-1,3.339917484E0
