"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.105708329E-3,1.160181726E0,7.488330281E-1,-1.164302258E0,1.806203834E0
1.409670833E-2,1.071731479E0,5.197647004E-1,-9.950990403E-1,1.552090786E0
2.408770833E-2,6.685256141E-1,3.252088322E-1,-4.581632602E-1,8.732702069E-1
3.407870833E-2,1.693026209E-1,2.257817540E-1,1.371417654E-1,3.137652652E-1
4.406970832E-2,-3.291789454E-1,1.910092396E-1,6.162158382E-1,7.242687809E-1
5.406070832E-2,-7.306967193E-1,2.568731537E-1,1.173592899E0,1.406137193E0
6.405170832E-2,-9.804476720E-1,3.102121858E-1,1.684237844E0,1.973364222E0
7.404370833E-2,-1.274585423E0,2.155996319E-1,1.832900378E0,2.242894335E0
8.403470833E-2,-1.439337156E0,4.210442582E-1,1.766864848E0,2.317494576E0
9.402570833E-2,-1.490558181E0,8.317088315E-1,1.766292990E0,2.456276491E0
1.040167083E-1,-1.551758063E0,1.278091853E0,1.635490776E0,2.591582904E0
1.140077083E-1,-1.680597952E0,1.706345289E0,1.455447405E0,2.802561484E0
1.239987083E-1,-1.775257941E0,1.963860321E0,1.350292833E0,2.971797243E0
1.339897083E-1,-1.645536293E0,2.117888407E0,1.325348026E0,2.991619692E0
1.439817083E-1,-1.561107177E0,2.188601563E0,1.375134144E0,3.019606983E0
1.539727083E-1,-1.602918569E0,2.184867531E0,1.564502070E0,3.129003163E0
1.639637083E-1,-1.570012194E0,2.046108280E0,1.682574311E0,3.079375536E0
1.739547083E-1,-1.443642461E0,1.845723761E0,1.607543424E0,2.841653677E0
1.839457083E-1,-1.338040285E0,1.726312946E0,1.312994029E0,2.548423338E0
1.939367083E-1,-1.313459760E0,1.677983954E0,8.970500046E-1,2.312034905E0
2.039277083E-1,-1.317949544E0,1.596441316E0,7.575699377E-1,2.204433734E0
2.139187083E-1,-1.194575633E0,1.411616530E0,8.473077410E-1,2.034109776E0
2.239107083E-1,-9.119978267E-1,1.183923322E0,8.674888211E-1,1.727990545E0
2.339017083E-1,-8.023982012E-1,1.014013175E0,8.803760844E-1,1.564329774E0
2.438927083E-1,-7.164511478E-1,5.428277634E-1,7.113693327E-1,1.146302995E0
2.538837083E-1,-3.570871210E-1,1.347771513E-1,4.994007486E-1,6.285516687E-1
2.638747083E-1,4.964490741E-2,1.826983727E-1,5.636616486E-1,5.946072370E-1
2.738657083E-1,1.835522854E-1,3.887977409E-1,8.423177272E-1,9.457030604E-1
2.838567083E-1,5.055122584E-2,5.200179579E-1,1.350580516E0,1.448116650E0
2.938477083E-1,-3.359473899E-1,5.885478370E-1,1.722004425E0,1.850553551E0
3.038397083E-1,-8.642146727E-1,6.635958266E-1,1.580274349E0,1.919503436E0
3.138307083E-1,-1.334396885E0,7.892413813E-1,1.299765873E0,2.023093752E0
3.238217083E-1,-1.595890216E0,8.532412762E-1,1.177342134E0,2.158939730E0
3.338127083E-1,-1.776166306E0,8.595938375E-1,1.017196253E0,2.219990210E0
3.438037083E-1,-1.963296503E0,8.644907344E-1,7.414491642E-1,2.269718981E0
3.537947083E-1,-2.010194973E0,8.232670601E-1,6.580994439E-1,2.269746101E0
3.637857083E-1,-1.723257191E0,7.663861502E-1,9.160873693E-1,2.096706738E0
3.737777083E-1,-1.223534553E0,8.008836262E-1,1.260022933E0,1.930313233E0
3.837687083E-1,-6.559201866E-1,7.931206434E-1,1.576660185E0,1.882851292E0
3.937597083E-1,-2.313661373E-1,7.392549234E-1,1.648472180E0,1.821397447E0
4.037507083E-1,2.207499325E-1,5.208979639E-1,1.264627615E0,1.385405438E0
4.137417083E-1,7.175182647E-1,1.161857830E-1,8.103223479E-1,1.088555880E0
4.237327083E-1,1.572696358E-2,-3.283672057E-2,1.195093696E0,1.195648163E0
4.337237083E-1,-4.522987953E-1,1.963386112E-1,1.416586225E0,1.499946527E0
