"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.189190950E-1,1.354144573E0,-2.074580193E-1,1.945165634E0,2.379162815E0
1.370230980E-1,8.117115498E-1,-9.891469479E-1,1.870164871E-1,1.293159886E0
1.551265520E-1,2.440380096E0,-2.002709389E0,3.557090759E-1,3.176921286E0
1.732299450E-1,3.337624073E0,-2.711161613E0,-1.800327301E-1,4.303782468E0
1.913269310E-1,4.717394352E0,-2.915758371E0,-4.241743088E-1,5.561958306E0
2.094269060E-1,4.657343864E0,-2.326261044E0,2.022625923E0,5.585101426E0
2.275355490E-1,2.293752432E0,-1.616571546E0,1.881012917E0,3.378285567E0
2.456408330E-1,2.145140409E0,-1.699717522E0,3.127679825E-1,2.754721554E0
2.637510640E-1,2.358448505E-1,-2.774154425E0,-1.253810883E0,3.053456614E0
2.818504910E-1,1.312253118E0,-1.848734617E0,3.074448586E0,3.819955763E0
2.999510140E-1,1.966544628E0,-6.415507793E-1,4.956159592E-1,2.127091995E0
3.180592920E-1,2.670769215E0,9.525008202E-1,-2.169326782E0,3.570188328E0
3.361631740E-1,1.978215098E0,4.499104023E-1,-1.145193100E0,2.329639797E0
3.542640650E-1,1.479891539E0,-1.173124671E0,2.242945671E0,2.932082152E0
3.723677630E-1,1.313784599E0,-2.357586861E0,2.311523438E0,3.553503395E0
3.904685320E-1,9.322001934E-1,-3.699453831E0,2.760398865E0,4.709008148E0
4.085783340E-1,1.191420555E0,-3.810905218E0,1.684293747E-1,3.996354586E0
4.266676290E-1,7.325813770E-1,-2.021175861E0,-3.426078796E0,4.044730307E0
4.447804830E-1,4.809887409E-1,-6.449240446E-1,-2.657958031E0,2.777052049E0
4.628862560E-1,1.194379568E0,-1.031510592E0,-1.697242737E0,2.317582698E0
4.809896510E-1,1.394351244E0,-1.009442329E0,-1.130352974E0,2.059341413E0
4.990888320E-1,1.155936360E0,-1.339973211E0,-2.602594376E0,3.147255083E0
5.171953990E-1,8.834523559E-1,-1.315102458E0,-3.553963661E0,3.891097563E0
5.352986710E-1,1.247416973E0,-3.924889565E-1,-2.347864151E0,2.687482606E0
5.534032250E-1,1.463670135E0,-4.281635284E-1,-3.423117638E0,3.747450951E0
5.714948380E-1,2.008651257E0,-8.684750795E-1,-1.230577469E0,2.510627360E0
5.896060430E-1,2.401581287E0,-7.849306464E-1,-3.027873516E0,3.943567779E0
6.077052270E-1,2.388083935E0,-3.423339128E-1,-3.076772690E0,3.909816821E0
6.258169810E-1,2.055456877E0,-8.578008413E-1,-1.875232697E0,2.911567090E0
6.439195820E-1,1.405777574E0,-1.714220285E0,-6.625471115E-1,2.313812967E0
6.620227920E-1,1.522868156E0,-1.127245426E0,-7.246942520E-1,2.028544166E0
6.801263690E-1,1.724787951E0,-7.425916791E-1,-2.991609573E-1,1.901534421E0
6.982299460E-1,1.568792701E0,-7.100241184E-1,2.114767075E0,2.727175199E0
7.163340720E-1,2.136440039E0,1.052521467E-1,6.303249359E0,6.656305772E0
7.344357560E-1,2.553354740E0,-4.052606821E-1,9.912311554E0,1.024391414E1
7.525407980E-1,1.300486922E0,-3.411086082E0,1.458494568E1,1.503487329E1
7.706349740E-1,7.308317423E-1,-5.822930813E0,1.820658875E1,1.912904891E1
7.887446550E-1,2.923025131E0,-4.063546658E0,1.858473969E1,1.924705267E1
8.068526870E-1,4.315955162E0,-2.005738735E0,1.626551437E1,1.694748992E1
8.249525400E-1,4.069348335E0,-6.284103394E-1,1.293964958E1,1.357899211E1
8.430596560E-1,3.386549473E0,1.489221573E0,9.587538719E0,1.027654596E1
8.611607930E-1,2.038067579E0,3.173278809E0,6.060185432E0,7.137875407E0
8.792646130E-1,1.051738381E0,2.525155067E0,4.291344643E0,5.089027469E0
8.973675180E-1,9.228228331E-1,-2.033329010E-2,4.023362160E0,4.127887897E0
9.154718280E-1,1.230165958E0,-2.713483810E0,3.240238190E0,4.401754900E0
9.335759540E-1,1.891852617E0,-3.143353939E0,1.027828217E0,3.810014587E0
9.516652490E-1,2.215967178E0,-2.634819508E0,-2.332404613E0,4.158472755E0
9.697811550E-1,2.312741041E0,-2.397850990E0,-5.312009335E0,6.270239522E0
9.878849150E-1,2.261242867E0,-1.885778427E0,-8.040664673E0,8.562807248E0
1.005989100E0,1.850377321E0,-1.215021014E0,-1.096169472E1,1.118297471E1
1.024091701E0,1.366372108E0,-1.510008454E0,-1.230328846E1,1.247068584E1
1.042195157E0,1.012652040E0,-2.369544983E0,-1.167031670E1,1.195142248E1
1.060288295E0,1.301633358E0,-3.046639442E0,-1.074218941E1,1.124148098E1
1.078398464E0,1.617236614E0,-3.567739487E0,-9.338071823E0,1.012639149E1
1.096502834E0,1.923887968E0,-3.785679340E0,-7.908692360E0,8.976643461E0
1.114608729E0,1.988788366E0,-3.965045691E0,-7.243731976E0,8.494028457E0
1.132713466E0,1.524478436E0,-4.390293121E0,-8.366073608E0,9.570261011E0
1.150811306E0,1.618837357E0,-4.002415657E0,-1.010667515E1,1.099021601E1
