max,min,ptp,mean,median,var,skew,kurt,rms,zero
304.5281002,-50.32877671,354.85687691,29.631049836161807,2.3035946405,"0    6720.577051
1      65.255603
2      14.100521
3      83.132554
4      85.725492
dtype: float64",[0.19066213 1.07002883 0.11649588 0.37720924 2.55251392],[-0.93539502  9.34114834  6.10704742 13.08878838  7.67129579],72.53786806001138,1.856
304.9297672,-51.39636134,356.32612854,30.42008551392469,2.4854134549999998,"0    6382.879729
1      59.700804
2      24.099577
3      79.212503
4      85.909240
dtype: float64",[0.09358471 3.75104181 1.8623191  0.57552673 3.53642736],[-0.9877055  28.55675585 17.48876202  8.97793099 17.3324949 ],73.64288756298195,2.0
302.5900572,-43.81871601,346.40877321,30.284806378596464,2.1898354715000004,"0    7174.348007
1      60.860750
2      10.296781
3      40.688475
4      58.512384
dtype: float64",[-0.02858497  2.50721362 -0.88212512  1.50869172  3.62606013],[-1.06351842 28.47873065  5.58535754  5.83007186 19.80093488],74.80849754944354,1.928
304.5481832,-41.15367206,345.70185526,31.220967845381306,2.3935819255,"0    7296.129909
1      85.074934
2      29.157734
3      70.002659
4     103.142331
dtype: float64",[0.04193433 2.12079985 1.97149912 1.18114614 3.11074461],[-1.0917895  16.45707796 17.12489394  7.95810084 12.37848127],76.26099418067082,1.992
304.4477672,-32.61983857,337.06760577,28.6490749597142,2.328398695,"0    6829.526597
1      46.818079
2      12.236140
3      48.763129
4      47.500164
dtype: float64",[0.10136576 2.38132337 0.23152349 0.12209164 2.55198977],[-1.05883175 19.18444593  2.62572782  4.74341975 11.28343593],71.34773835708006,1.984
303.0118082,-31.88085576,334.89266396,31.186533625147863,2.3970740079999997,"0    6362.711532
1     100.430054
2      26.626475
3      61.051992
4     109.042069
dtype: float64",[0.10663984 4.2747236  4.07496833 0.64660875 3.98356922],[-0.96551579 23.93408318 35.2615321   3.63120394 21.35429285],74.70949010356439,2.0
304.4979752,-31.21412817,335.71210336999997,30.27243089690478,2.7058441105,"0    6539.904796
1     114.529343
2      14.477106
3      70.892993
4     113.339419
dtype: float64",[0.05123224 3.51435918 0.40444139 1.65037937 3.1779135 ],[-1.03815176 18.6209549   3.91194541  5.12011354 12.55403344],72.72880162259878,2.016
303.935642,-42.8792275,346.8148695,29.130171896183548,2.155442124,"0    7532.559599
1      54.924411
2      13.330819
3      57.134952
4      60.503290
dtype: float64",[ 0.14743293  2.31115504 -0.34514302  0.67492281  3.24760989],[-1.10974322 29.41068785  5.39985561  4.87218193 18.47704863],73.40880673769756,2.104
299.698058,-57.84443687,357.54249487,31.0503326554675,2.3259530615,"0    6670.636864
1      29.544571
2      11.278382
3      72.212267
4      52.416361
dtype: float64",[ 0.01727536  0.12204703 -0.18743757  0.50154838  3.59650799],[-1.08112234  1.55351814  2.9950227  16.54773852 19.93726035],75.76562503031055,2.0
302.2888072,-27.604946,329.8937532,30.169404068855464,2.0724343445000004,"0    7041.404521
1      79.394080
2      13.659697
3      47.584077
4      75.881351
dtype: float64",[0.12941882 2.96696156 1.72647975 1.45858346 3.40915231],[-1.15916371 19.89718284 11.25300731 12.72998626 16.46175766],74.52835983090348,1.856
