max,min,ptp,mean,median,var,skew,kurt,rms,zero,Label
3.432033752,-2.137471316,5.569505068,-0.126880249,-0.162813673,"0    1.175861
dtype: float64",[0.61455714],[0.42196361],1.091768968,0,Walk
3.478717922,-3.114177355,6.592895277,-0.018267859,0.014733814,"0    1.990061
dtype: float64",[0.04283114],[-0.35755748],1.410813614,0,Walk
3.564152759,-4.203803068,7.767955827,-0.152524492,-0.336071058,"0    2.03166
dtype: float64",[0.24915725],[-0.02112077],1.433500364,0,Walk
3.617528483,-3.667376581,7.284905064,-0.095582012,-0.089162145,"0    2.055911
dtype: float64",[0.21950819],[-0.01393763],1.437027066,0,Walk
3.723970612,-3.715015016,7.438985628,-0.010634549,-0.064550045,"0    1.211132
dtype: float64",[0.07536364],[0.71151825],1.100565801,0,Walk
3.796138701,-4.253299749,8.04943845,-0.104562112,-0.047976989,"0    2.54393
dtype: float64",[-0.05221907],[-0.31197433],1.598393968,0,Walk
4.050660397,-4.069607715,8.120268112,-0.133329198,-0.239130655,"0    1.520565
dtype: float64",[0.40100942],[0.47724044],1.240299146,0,Walk
4.130868993,-5.092329587,9.22319858,-0.114239958,-0.21808214,"0    1.815593
dtype: float64",[-0.03605667],[0.56522512],1.352273433,0,Walk
4.165687408,-3.665811281,7.831498689,-0.018964886,-0.036622866,"0    2.123844
dtype: float64",[0.23914295],[0.39994705],1.457464722,0,Walk
4.293719212,-2.559667184,6.853386396,0.051326592,-0.188181234,"0    2.050884
dtype: float64",[0.79299503],[0.27560188],1.433010288,0,Walk
4.491474969,-3.933321397,8.424796366,-0.018319168,-0.070532624,"0    1.972747
dtype: float64",[0.31441808],[0.72889307],1.404664451,0,Walk
4.580661964,-3.413348975,7.994010939,-0.073670748,-0.122954081,"0    1.928733
dtype: float64",[0.30326566],[0.5602266],1.390740939,0,Walk
4.602203107,-5.151647835,9.753850942,-0.042633821,-0.058568636,"0    3.7662
dtype: float64",[-0.20344221],[-0.04766879],1.941138164,0,Walk
4.612281368,-3.621840804,8.234122172,0.054897851,0.118899622,"0    1.699898
dtype: float64",[0.25917436],[0.33204513],1.304956685,0,Walk
4.805351751,-3.840551813,8.645903564,0.013079015,-0.040707146,"0    2.198993
dtype: float64",[0.34519839],[0.388946],1.482957714,0,Walk
4.805561666,-12.73600051,17.54156218,-0.343436184,-0.580202252,"0    4.336171
dtype: float64",[-1.14061013],[7.05288901],2.110478411,0,Walk
4.898884982,-6.33730471,11.23618969,-0.086970576,0.15868437,"0    3.181922
dtype: float64",[-0.45823296],[1.05985073],1.785913152,0,Walk
4.951222824,-5.028231239,9.979454063,-0.049361084,-0.193114237,"0    2.062854
dtype: float64",[0.38048552],[1.37918691],1.437111794,0,Walk
4.955443929,-5.219357423,10.17480135,-0.047757046,-0.11273578,"0    2.210225
dtype: float64",[-0.07147215],[1.66749454],1.487449458,0,Walk
5.114820902,-2.305905626,7.420726528,-0.023727591,-0.284507095,"0    2.428993
dtype: float64",[1.23479463],[1.42987623],1.558703341,0,Walk
5.15882997,-3.932001096,9.090831066,-0.029645671,-0.008046061,"0    2.601502
dtype: float64",[0.38546827],[0.35090518],1.613189543,0,Walk
5.236249444,-4.30858108,9.544830524,-0.102893501,-0.168897701,"0    2.201334
dtype: float64",[0.31146542],[0.60612881],1.487252786,0,Walk
5.695448831,-3.093724964,8.789173795,-0.066198785,-0.355658354,"0    2.23178
dtype: float64",[0.84045314],[0.85968599],1.495380281,0,Walk
5.720403578,-3.831521958,9.551925536,-0.129131368,-0.182348636,"0    1.73653
dtype: float64",[0.35174114],[0.64520346],1.324086554,0,Walk
6.222634379,-3.905553555,10.12818793,-0.009814003,-0.048558202,"0    2.114625
dtype: float64",[0.60511598],[2.12802523],1.454208003,0,Walk
6.512553949,-14.58474392,21.09729787,0.185338826,0.173283698,"0    4.52826
dtype: float64",[-0.97269668],[7.98319025],2.136026728,0,Walk
9.325629519,-10.62182157,19.94745109,0.019250067,-0.180821051,"0    3.184346
dtype: float64",[1.04541607],[8.38321178],1.784577397,0,Walk
9.490334474,-21.61272642,31.10306089,-0.033821729,-0.092358964,"0    16.038366
dtype: float64",[-0.75418809],[2.72642804],4.004935641,0,Walk
9.987622039,-29.5252909,39.51291294,-0.316398585,0.223605128,"0    23.431024
dtype: float64",[-1.15292509],[3.85530804],4.850889851,0,Walk
15.59156896,-9.065576357,24.65714532,-0.463383109,-0.381015389,"0    7.38205
dtype: float64",[0.01402764],[4.19784679],2.756224643,0,Jump
