"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.964166692E-3,2.407496320E0,-3.197731143E-1,-7.482512301E-1,2.541293623E0
1.289416663E-2,2.364879766E0,-3.542991686E-1,-1.438521470E0,2.790614310E0
2.282516670E-2,1.938037409E0,-4.095003927E-1,-2.056140640E0,2.855064605E0
3.275616665E-2,1.550055062E0,-6.381855816E-1,-2.525158671E0,3.030903800E0
4.268616671E-2,1.195621407E0,-1.010463769E0,-2.677822455E0,3.101818931E0
5.261716666E-2,9.643330380E-1,-1.311722260E0,-2.712497029E0,3.163572921E0
6.254816672E-2,1.017166432E0,-1.510259789E0,-2.701660384E0,3.257987264E0
7.247916667E-2,1.241272082E0,-1.727822405E0,-2.554546192E0,3.324429709E0
8.240916673E-2,1.493333269E0,-1.802066256E0,-2.304174850E0,3.284312528E0
9.234016668E-2,1.714600096E0,-1.814527257E0,-2.372476761E0,3.443981509E0
1.022711666E-1,2.129129094E0,-1.766636222E0,-2.388816220E0,3.655220537E0
1.122011667E-1,2.213488336E0,-1.735070028E0,-2.257132831E0,3.606195673E0
1.221321666E-1,1.910869783E0,-1.745074614E0,-2.155741526E0,3.368075157E0
1.320631667E-1,1.409628038E0,-1.664904610E0,-2.135550506E0,3.052791269E0
1.419931666E-1,8.560870430E-1,-1.354351970E0,-2.187554473E0,2.711558381E0
1.519241667E-1,4.971954712E-1,-9.111686915E-1,-2.347615569E0,2.566852271E0
1.618551667E-1,3.377810767E-1,-6.070152444E-1,-2.645561612E0,2.735244012E0
1.717861667E-1,2.288915956E-1,-5.863137621E-1,-3.032830891E0,3.097453535E0
1.817161667E-1,1.490510818E-1,-5.160384160E-1,-3.235964332E0,3.280240392E0
1.916471666E-1,2.202733845E-1,-2.631972098E-1,-2.968237284E0,2.988013673E0
2.015781667E-1,3.317046502E-1,-1.961641449E-1,-2.408137760E0,2.438777525E0
2.115081666E-1,5.970150438E-1,-4.718258643E-1,-2.213974532E0,2.341095862E0
2.214391667E-1,9.516492578E-1,-8.690962207E-1,-2.344290258E0,2.675193706E0
