"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.181624270E-1,4.687100053E-1,2.217793465E-1,-1.061191559E-1,5.292791540E-1
1.362610000E-1,6.868367195E-1,2.184358835E-1,-5.234937668E-1,8.907887731E-1
1.543642100E-1,9.074687958E-1,2.764799595E-1,-7.474241257E-1,1.207718348E0
1.724641870E-1,8.997272253E-1,3.414237499E-1,-6.064138412E-1,1.137460770E0
1.905724620E-1,9.478580356E-1,3.718864918E-1,-6.034345627E-1,1.183582566E0
2.086728030E-1,1.025496602E0,3.845800161E-1,-5.816831589E-1,1.240121110E0
2.267630750E-1,8.991770148E-1,3.824645281E-1,-5.488567352E-1,1.120732856E0
2.448784920E-1,6.451996565E-1,3.452929258E-1,-3.556270599E-1,8.136217838E-1
2.629813970E-1,3.847755194E-1,2.957702875E-1,-1.453990936E-1,5.066292132E-1
2.810842420E-1,1.741392016E-1,1.856809855E-1,1.913728714E-1,3.184736501E-1
2.991845220E-1,1.707330346E-1,1.426767111E-1,3.904991150E-1,4.494396197E-1
3.172932250E-1,2.467209250E-1,1.871829033E-1,4.223203659E-1,5.237013897E-1
3.353930180E-1,3.475902379E-1,3.103446960E-1,1.766157150E-1,4.983231026E-1
3.534948860E-1,5.241492987E-1,4.999071360E-1,-1.952037811E-1,7.501627477E-1
3.716000510E-1,4.937458932E-1,5.881278515E-1,-4.713735580E-1,9.010396262E-1
3.897019180E-1,4.483084679E-1,7.415988445E-1,-6.074886322E-1,1.058296635E0
4.078049450E-1,5.947295427E-1,9.122757912E-1,-7.616167068E-1,1.328913224E0
4.259074220E-1,7.065045238E-1,1.076399088E0,-8.819046021E-1,1.560621468E0
4.440070320E-1,5.832904577E-1,1.077370167E0,-6.819343567E-1,1.402137191E0
4.621169570E-1,5.490908623E-1,9.779232740E-1,-2.805976868E-1,1.156101106E0
4.802154060E-1,5.483716726E-1,8.033514023E-1,-4.884624481E-2,9.738947184E-1
4.983202040E-1,3.177121580E-1,5.742783546E-1,-2.753067017E-2,6.568824718E-1
5.164220710E-1,8.029470593E-2,3.287941217E-1,1.601400375E-1,3.744297610E-1
5.345251600E-1,-6.131257862E-2,5.959296227E-2,4.783210754E-1,4.859028757E-1
5.526279430E-1,-2.887201309E-2,-1.354829073E-1,7.223291397E-1,7.354920784E-1
5.707192520E-1,-6.234422326E-3,-2.726038694E-1,8.842496872E-1,9.253373693E-1
5.888307620E-1,-2.613693476E-3,-3.195486665E-1,7.137689590E-1,7.820385595E-1
6.069396490E-1,4.547098279E-2,-2.830110788E-1,5.497264862E-1,6.199694272E-1
6.250395030E-1,-4.425436258E-3,-2.777098417E-1,4.056663513E-1,4.916375995E-1
6.431425920E-1,-2.351675630E-1,-4.157984257E-1,3.451566696E-1,5.893430580E-1
6.612456190E-1,-5.794516802E-1,-6.785205603E-1,4.181413651E-1,9.853915981E-1
6.793483400E-1,-1.053232908E0,-1.028134346E0,6.547727585E-1,1.610927422E0
6.974514300E-1,-1.051652908E0,-1.278359175E0,1.330450058E0,2.123740421E0
7.155529300E-1,-4.623948336E-1,-1.300806642E0,2.061029434E0,2.480675156E0
7.336557740E-1,5.848389864E-2,-1.094633698E0,2.044329643E0,2.319682519E0
7.517612440E-1,2.570015192E-1,-7.690873146E-1,1.210315704E0,1.456849060E0
7.698637210E-1,3.425821662E-1,-4.715576768E-1,2.063236237E-1,6.183030170E-1
7.879644300E-1,3.848598599E-1,-3.320221007E-1,-4.151468277E-1,6.562794189E-1
8.060653210E-1,3.091349006E-1,-2.689696848E-1,-7.991867065E-1,8.981138402E-1
8.241716450E-1,2.855905890E-1,-2.334046960E-1,-1.148904800E0,1.206657357E0
8.422746100E-1,1.512654424E-1,-2.356607318E-1,-1.290740967E0,1.320768510E0
8.603762330E-1,-4.120367765E-1,-4.913426638E-1,-8.804931641E-1,1.089247507E0
8.784813980E-1,-6.600673199E-1,-7.821087241E-1,-6.218528748E-2,1.025304800E0
8.965829600E-1,-4.155815244E-1,-9.493407607E-1,5.204610825E-1,1.159670480E0
9.146896490E-1,-1.170562506E-1,-9.163626432E-1,4.384641647E-1,1.022581773E0
9.327856580E-1,7.147467136E-2,-7.677926421E-1,-2.234449387E-1,8.028336132E-1
9.508952770E-1,1.583877802E-1,-5.907748342E-1,-7.854995728E-1,9.955456656E-1
9.689948250E-1,3.300108910E-1,-3.125880957E-1,-1.188161850E0,1.272142715E0
9.870965700E-1,4.272932708E-1,-1.193149090E-1,-1.419994354E0,1.487682612E0
1.005201977E0,2.851267159E-1,2.976000309E-3,-1.464720726E0,1.492217446E0
1.023303481E0,-4.487538338E-2,3.833973408E-2,-1.224169731E0,1.225591802E0
1.041406446E0,-2.821108103E-1,1.752263308E-2,-9.492712021E-1,9.904591698E-1
1.059497877E0,-4.546655118E-1,-4.560208321E-2,-6.603984833E-1,8.030731189E-1
1.077605361E0,-5.340703726E-1,-6.134778261E-2,-5.759353638E-1,7.878427867E-1
1.095715102E0,-4.066561759E-1,-1.684945822E-2,-6.261816025E-1,7.468310042E-1
1.113817763E0,-1.326946020E-1,1.145476103E-2,-3.969297409E-1,4.186792187E-1
1.131922316E0,-5.019301176E-2,-4.177021980E-2,2.628326416E-3,6.535287134E-2
1.150022780E0,2.007547021E-2,-7.422924042E-3,1.664667130E-1,1.678370961E-1
1.168126905E0,1.993401945E-1,1.111174226E-1,-3.195953369E-2,2.304452354E-1
1.186224927E0,2.482248247E-1,2.022099495E-1,-3.411121368E-1,4.678268025E-1
1.204332471E0,1.977664232E-2,1.602317095E-1,-4.083795547E-1,4.391345774E-1
1.222435499E0,-2.706631422E-1,9.342193604E-3,-1.966142654E-1,3.346684666E-1
1.240538038E0,-3.616279960E-1,-2.333526611E-1,-8.936882019E-3,4.304743195E-1
1.258622817E0,-4.149602354E-1,-5.396578908E-1,3.734722137E-1,7.764690145E-1
1.276742689E0,-4.657944739E-1,-9.166445136E-1,8.952312469E-1,1.363319714E0
1.294844495E0,-1.124295294E-1,-1.065130353E0,1.348389626E0,1.722003963E0
1.312947157E0,3.186791539E-1,-1.095472813E0,1.712726593E0,2.057923582E0
1.331055922E0,6.032899022E-1,-1.165854335E0,2.015308380E0,2.405128459E0
1.349155776E0,8.138023615E-1,-1.173681855E0,2.362618446E0,2.760755205E0
1.367258985E0,9.875601530E-1,-1.061682463E0,1.695760727E0,2.231154219E0
1.385361586E0,9.043458104E-1,-8.776381016E-1,5.008115768E-1,1.356061288E0
1.403459975E0,9.247536063E-1,-6.516395211E-1,-4.491901398E-1,1.217199688E0
1.421567030E0,1.034599900E0,-5.047701001E-1,-6.671609879E-1,1.330523803E0
1.439670484E0,9.173555970E-1,-6.063480377E-1,-4.415321350E-1,1.184968295E0
1.457773145E0,4.482983053E-1,-9.557247162E-1,1.955881119E-1,1.073608780E0
1.475876112E0,6.630732119E-2,-1.293869376E0,7.919530869E-1,1.518447996E0
1.493978834E0,-9.436593205E-2,-1.434182644E0,1.100901604E0,1.810461026E0
1.512081983E0,3.274599835E-2,-1.309330225E0,6.439294815E-1,1.459473575E0
1.530184156E0,3.114184141E-1,-1.058695555E0,-3.032798767E-1,1.144463363E0
1.548288465E0,5.703825355E-1,-9.126470089E-1,-7.190179825E-1,1.294313586E0
1.566390821E0,6.628778577E-1,-9.452116489E-1,-6.192436218E-1,1.310074341E0
1.584493422E0,6.114803553E-1,-1.041238904E0,-1.936645508E-1,1.222944250E0
1.602584424E0,5.638241768E-1,-9.989843369E-1,-4.462499619E-1,1.230855977E0
1.620696669E0,4.256879687E-1,-7.912586927E-1,-1.393195152E0,1.657797725E0
1.638800123E0,2.325676829E-1,-5.030083656E-1,-2.144185066E0,2.214640996E0
1.656905043E0,6.205154955E-2,-3.835980296E-1,-2.379186630E0,2.410710863E0
1.675008008E0,2.738076448E-2,-3.745396435E-1,-2.030826569E0,2.065256934E0
1.693109632E0,1.609537303E-1,-3.689657450E-1,-1.547741890E0,1.599233186E0
1.711214795E0,2.450312674E-1,-4.723307490E-1,-1.265306473E0,1.372638747E0
1.729316602E0,2.611549497E-1,-5.450428724E-1,-1.141470909E0,1.291599581E0
1.747414136E0,-1.209911108E0,-1.012674928E0,-9.439954758E-1,1.838619824E0
1.765515088E0,1.123087645E0,9.970343113E-2,-1.322670937E0,1.738023313E0
1.783628430E0,6.794576645E-1,-4.360980392E-1,-8.826217651E-1,1.196187861E0
1.801728407E0,8.573196530E-1,-3.081556559E-1,-3.126144409E-2,9.115559081E-1
1.819831313E0,3.564670384E-1,-7.544260025E-1,5.545816422E-1,1.001892280E0
1.837934096E0,2.173063904E-1,-7.408509254E-1,7.951908112E-1,1.108336856E0
1.856036817E0,3.447466195E-1,-8.444869518E-1,4.006843567E-1,9.962712468E-1
1.874140089E0,5.282557607E-1,-7.657037377E-1,4.245758057E-1,1.022556100E0
1.892241530E0,3.272761703E-1,-8.193589449E-1,3.045806885E-1,9.333960403E-1
1.910347853E0,-5.028200150E-2,-8.152382970E-1,1.657667160E-1,8.334388788E-1
1.928447706E0,2.331977189E-1,-8.302925825E-1,9.383964539E-2,8.675095548E-1
1.946539809E0,7.971214056E-1,-1.019384265E0,1.161149979E0,1.738624769E0
1.964654677E0,9.227396846E-1,-1.524172902E0,3.045774460E0,3.528639061E0
1.982757338E0,-1.189043820E-1,-2.140964508E0,4.297306061E0,4.802572921E0
2.000860121E0,-8.995999694E-1,-2.162656784E0,4.621940613E0,5.181573072E0
2.018963331E0,-3.213381469E-1,-1.601967335E0,2.901034355E0,3.329498142E0
2.037066176E0,7.093521357E-1,-9.856919646E-1,8.718214035E-1,1.494938681E0
2.055168897E0,1.053457975E0,-5.004000068E-1,1.326065063E-1,1.173779519E0
2.073269238E0,6.324270964E-1,-3.025220037E-1,-9.327888489E-2,7.072372624E-1
2.091380445E0,1.128028631E-1,-2.060164809E-1,-2.043199539E-1,3.113100061E-1
2.109474805E0,-3.728131652E-1,-2.371986210E-1,-4.226388931E-1,6.114543940E-1
2.127583510E0,-9.558393359E-1,-4.505212903E-1,-4.235877991E-1,1.138430891E0
